id,State,City,FAA,IATA,ICAO,Airport
135,Kansas,Manhattan,MHK,MHK,KMHK,Manhattan Regional Airport
136,Kansas,Salina,SLN,SLN,KSLN,Salina Regional Airport
137,Kansas,Wichita,ICT,ICT,KICT,Wichita Dwight D. Eisenhower National Airport (was Wichita Mid-Continent Airport)
138,Kentucky,Cincinnati/Covington,CVG,CVG,KCVG,Cincinnati/Northern Kentucky International Airport
139,Kentucky,Lexington,LEX,LEX,KLEX,Blue Grass Airport
140,Kentucky,Louisville,SDF,SDF,KSDF,Louisville International Airport (Standiford Field)
141,Kentucky,Owensboro,OWB,OWB,KOWB,Owensboro–Daviess County Regional Airport
142,Kentucky,Paducah,PAH,PAH,KPAH,Barkley Regional Airport
143,Louisiana,Alexandria,AEX,AEX,KAEX,Alexandria International Airport
144,Louisiana,Baton Rouge,BTR,BTR,KBTR,Baton Rouge Metropolitan Airport (Ryan Field)
145,Louisiana,Lafayette,LFT,LFT,KLFT,Lafayette Regional Airport (Paul Fournet Field)
146,Louisiana,Lake Charles,LCH,LCH,KLCH,Lake Charles Regional Airport
147,Louisiana,Monroe,MLU,MLU,KMLU,Monroe Regional Airport
148,Louisiana,New Orleans,MSY,MSY,KMSY,Louis Armstrong New Orleans International Airport
149,Louisiana,Shreveport,SHV,SHV,KSHV,Shreveport Regional Airport
150,Maine,Bangor,BGR,BGR,KBGR,Bangor International Airport
151,Maine,Portland,PWM,PWM,KPWM,Portland International Jetport
152,Maine,Presque Isle,PQI,PQI,KPQI,Presque Isle International Airport
153,Maine,Rockland,RKD,RKD,KRKD,Knox County Regional Airport
154,Maryland,Baltimore,BWI,BWI,KBWI,Baltimore/Washington International Airport
155,Maryland,Hagerstown,HGR,HGR,KHGR,Hagerstown Regional Airport (Richard A. Henson Field)
156,Maryland,Salisbury,SBY,SBY,KSBY,Salisbury–Ocean City–Wicomico Regional Airport
157,Massachusetts,Boston,BOS,BOS,KBOS,Gen. Edward Lawrence Logan International Airport
158,Massachusetts,Hyannis,HYA,HYA,KHYA,Cape Cod Gateway Airport (Boardman/Polando Field)
159,Massachusetts,Nantucket,ACK,ACK,KACK,Nantucket Memorial Airport
160,Massachusetts,Vineyard Haven,MVY,MVY,KMVY,Martha's Vineyard Airport
161,Massachusetts,Worcester,ORH,ORH,KORH,Worcester Regional Airport
162,Michigan,Alpena,APN,APN,KAPN,Alpena County Regional Airport
163,Michigan,Detroit,DTW,DTW,KDTW,Detroit Metro Wayne County Airport
164,Michigan,Escanaba,ESC,ESC,KESC,Delta County Airport
165,Michigan,Flint,FNT,FNT,KFNT,Bishop International Airport
166,Michigan,Grand Rapids,GRR,GRR,KGRR,Gerald R. Ford International Airport
167,Michigan,Hancock,CMX,CMX,KCMX,Houghton County Memorial Airport
168,Michigan,Iron Mountain,IMT,IMT,KIMT,Ford Airport
169,Michigan,Kalamazoo,AZO,AZO,KAZO,Kalamazoo/Battle Creek International Airport
170,Michigan,Lansing,LAN,LAN,KLAN,Capital Region International Airport (was Lansing Capital City)
171,Michigan,Marquette,SAW,MQT,KSAW,Sawyer International Airport
172,Michigan,Muskegon,MKG,MKG,KMKG,Muskegon County Airport
173,Michigan,Pellston,PLN,PLN,KPLN,Pellston Regional/Emmet County Airport
174,Michigan,Saginaw,MBS,MBS,KMBS,MBS International Airport
175,Michigan,Sault Ste. Marie,CIU,CIU,KCIU,Chippewa County International Airport
176,Michigan,Traverse City,TVC,TVC,KTVC,Cherry Capital Airport (was Cherry County Airpark)
177,Minnesota,Bemidji,BJI,BJI,KBJI,Bemidji Regional Airport
178,Minnesota,Brainerd,BRD,BRD,KBRD,Brainerd Lakes Regional Airport
179,Minnesota,Duluth,DLH,DLH,KDLH,Duluth International Airport
180,Minnesota,Hibbing,HIB,HIB,KHIB,Range Regional Airport (was Chisholm–Hibbing Airport)
181,Minnesota,Minneapolis-St. Paul,MSP,MSP,KMSP,Minneapolis–St. Paul International/Wold-Chamberlain Airport
182,Minnesota,Rochester,RST,RST,KRST,Rochester International Airport
183,Minnesota,St. Cloud,STC,STC,KSTC,St. Cloud Regional Airport
184,Mississippi,Columbus,GTR,GTR,KGTR,Golden Triangle Regional Airport
185,Mississippi,Gulfport / Biloxi,GPT,GPT,KGPT,Gulfport–Biloxi International Airport
186,Mississippi,Hattiesburg / Laurel,PIB,PIB,KPIB,Hattiesburg–Laurel Regional Airport
187,Mississippi,Jackson,JAN,JAN,KJAN,Jackson–Medgar Wiley Evers International Airport
188,Mississippi,Meridian,MEI,MEI,KMEI,Key Field
189,Mississippi,Tupelo,TUP,TUP,KTUP,Tupelo Regional Airport (C.D. Lemons Field)
190,Missouri,Branson,BBG,BKG,KBBG,Branson Airport
191,Missouri,Columbia,COU,COU,KCOU,Columbia Regional Airport
192,Missouri,Fort Leonard Wood / Waynesville,TBN,TBN,KTBN,Waynesville-St. Robert Regional Airport (Forney Field)
193,Missouri,Joplin,JLN,JLN,KJLN,Joplin Regional Airport
194,Missouri,Kansas City,MCI,MCI,KMCI,Kansas City International Airport (was Mid-Continent International)
195,Missouri,St. Louis,STL,STL,KSTL,St. Louis Lambert International Airport
